,sid,qb16v,qc06
857,857,3.新材料,0
858,858,5.新能源、高效节能,0
859,859,2.生物、医药技术,0
860,860,2.生物、医药技术,0
862,862,6.环境保护,0
863,863,6.环境保护,0
865,865,2.生物、医药技术,0
867,867,2.生物、医药技术,0
870,870,3.新材料,0
871,871,3.新材料,0
872,872,11.非高技术,0
874,874,4.光机电一体化,0
876,876,3.新材料,0
878,878,3.新材料,0
879,879,3.新材料,0
880,880,3.新材料,0
882,882,5.新能源、高效节能,0
883,883,3.新材料,0
884,884,2.生物、医药技术,0
886,886,3.新材料,0
888,888,3.新材料,0
889,889,3.新材料,0
890,890,2.生物、医药技术,0
892,892,6.环境保护,0
893,893,4.光机电一体化,0
894,894,11.非高技术,0
896,896,3.新材料,0
897,897,3.新材料,0
898,898,6.环境保护,0
900,900,3.新材料,0
901,901,2.生物、医药技术,0
902,902,3.新材料,0
903,903,3.新材料,0
904,904,3.新材料,0
905,905,3.新材料,0
906,906,3.新材料,0
907,907,2.生物、医药技术,0
908,908,3.新材料,0
909,909,10.其他高技术,0
911,911,4.光机电一体化,0
912,912,3.新材料,0
913,913,3.新材料,0
915,915,3.新材料,0
916,916,10.其他高技术,0
917,917,3.新材料,0
918,918,1.电子与信息,0
920,920,1.电子与信息,0
921,921,5.新能源、高效节能,0
927,927,3.新材料,0
928,928,11.非高技术,0
929,929,3.新材料,0
930,930,3.新材料,0
932,932,3.新材料,0
933,933,11.非高技术,0
934,934,11.非高技术,0
935,935,6.环境保护,0
936,936,6.环境保护,0
937,937,3.新材料,0
938,938,11.非高技术,0
939,939,3.新材料,0
940,940,3.新材料,0
941,941,1.电子与信息,0
942,942,3.新材料,0
945,945,2.生物、医药技术,0
947,947,6.环境保护,0
948,948,3.新材料,0
949,949,2.生物、医药技术,0
952,952,2.生物、医药技术,0
953,953,3.新材料,0
954,954,3.新材料,0
955,955,3.新材料,0
956,956,6.环境保护,0
957,957,3.新材料,0
958,958,4.光机电一体化,0
959,959,2.生物、医药技术,0
960,960,10.其他高技术,0
961,961,1.电子与信息,0
967,967,4.光机电一体化,0
968,968,3.新材料,0
971,971,1.电子与信息,0
972,972,1.电子与信息,0
974,974,1.电子与信息,0
975,975,1.电子与信息,0
976,976,3.新材料,0
978,978,3.新材料,0
979,979,3.新材料,0
980,980,4.光机电一体化,0
981,981,10.其他高技术,0
982,982,1.电子与信息,0
984,984,1.电子与信息,0
985,985,1.电子与信息,0
986,986,1.电子与信息,0
987,987,1.电子与信息,0
988,988,4.光机电一体化,0
990,990,3.新材料,0
991,991,3.新材料,0
992,992,4.光机电一体化,0
993,993,3.新材料,0
994,994,3.新材料,0
995,995,4.光机电一体化,0
996,996,4.光机电一体化,0
998,998,3.新材料,0
1000,1000,4.光机电一体化,0
1001,1001,10.其他高技术,0
1004,1004,10.其他高技术,0
1005,1005,4.光机电一体化,0
1007,1007,4.光机电一体化,0
1008,1008,4.光机电一体化,0
1015,1015,10.其他高技术,0
1021,1021,4.光机电一体化,0
1023,1023,1.电子与信息,0
1026,1026,5.新能源、高效节能,0
1030,1030,10.其他高技术,0
1032,1032,1.电子与信息,0
1035,1035,4.光机电一体化,0
1038,1038,6.环境保护,0
1040,1040,6.环境保护,0
1042,1042,6.环境保护,0
1044,1044,6.环境保护,0
1045,1045,5.新能源、高效节能,0
1046,1046,3.新材料,0
1047,1047,3.新材料,0
1048,1048,11.非高技术,0
1050,1050,10.其他高技术,0
1051,1051,2.生物、医药技术,0
